,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Batsman
1298,-1,0,0,0.0,0,0,Sri Lanka,Gros Islet,Chris Gayle 
1299,20.0,20,26,76.92,3,0,Australia,Kingstown,Chris Gayle 
1300,10.0,10,24,41.66,2,0,Australia,St George's,Chris Gayle 
1301,53,53,54,98.14,5,3,Australia,St George's,Chris Gayle 
1302,92.0,92,92,100.0,6,4,Australia,Basseterre,Chris Gayle 
1303,5.0,5,8,62.5,1,0,Australia,Basseterre,Chris Gayle 
1306,113,113,106,106.6,11,5,Pakistan,Abu Dhabi,Chris Gayle 
1307,0.0,0,6,0.0,0,0,Pakistan,Abu Dhabi,Chris Gayle 
1308,122,122,137,89.05,5,6,Pakistan,Abu Dhabi,Chris Gayle 
1309,25.0,25,36,69.44,1,1,New Zealand,Queenstown,Chris Gayle 
1310,36.0,36,31,116.12,4,1,New Zealand,Christchurch,Chris Gayle 
1311,18,18,24,75.0,3,0,New Zealand,Wellington,Chris Gayle 
1312,46*,46,37,124.32,4,3,New Zealand,Auckland,Chris Gayle 
1313,135.0,135,129,104.65,9,5,New Zealand,Napier,Chris Gayle 
1314,2,2,11,18.18,0,0,England,Providence,Chris Gayle 
1315,20.0,20,20,100.0,4,0,England,Providence,Chris Gayle 
1316,80.0,80,43,186.04,5,8,England,Bridgetown,Chris Gayle 
1317,46.0,46,39,117.94,3,5,England,Bridgetown,Chris Gayle 
1318,0.0,0,3,0.0,0,0,England,Gros Islet,Chris Gayle 
1319,31,31,28,110.71,3,2,England,Bristol,Chris Gayle 
1320,11,11,10,110.0,2,0,England,Birmingham,Chris Gayle 
1321,37,37,33,112.12,5,1,India,Kingston,Chris Gayle 
1322,64.0,64,46,139.13,8,2,India,Kingston,Chris Gayle 
1323,27,27,14,192.85,6,0,India,Gros Islet,Chris Gayle 
1324,0.0,0,2,0.0,0,0,India,Gros Islet,Chris Gayle 
1325,7,7,5,140.0,1,0,Australia,Melbourne,Chris Gayle 
1326,0.0,0,1,0.0,0,0,Australia,Adelaide,Chris Gayle 
1327,0*,0,6,0.0,0,0,Australia,Sydney,Chris Gayle 
1328,34,34,21,161.9,6,0,Australia,Brisbane,Chris Gayle 
1329,14,14,5,280.0,0,2,Australia,Melbourne,Chris Gayle 
1335,45.0,45,39,115.38,8,0,South Africa,North Sound,Chris Gayle 
1336,26,26,35,74.28,3,1,South Africa,North Sound,Chris Gayle 
1337,16,16,20,80.0,1,1,South Africa,Roseau,Chris Gayle 
1338,29,29,28,103.57,4,0,South Africa,Roseau,Chris Gayle 
1339,12,12,19,63.15,1,0,South Africa,Port of Spain,Chris Gayle 
1340,4,4,11,36.36,0,0,Sri Lanka,Colombo (SSC),Chris Gayle 
1341,28.0,28,30,93.33,4,1,Sri Lanka,Colombo (SSC),Chris Gayle 
1342,0.0,0,1,0.0,0,0,Sri Lanka,Colombo (SSC),Chris Gayle 
1343,2,2,3,66.66,0,0,South Africa,Delhi,Chris Gayle 
1345,37*,37,36,102.77,6,0,Bangladesh,Dhaka,Chris Gayle 
1346,43,43,21,204.76,8,1,England,Chennai,Chris Gayle 
1347,8,8,9,88.88,2,0,Pakistan,Dhaka,Chris Gayle 
1348,53,53,51,103.92,3,5,England,The Oval,Chris Gayle 
1349,63*,63,57,110.52,4,5,New Zealand,Kingston,Chris Gayle 
1350,125.0,125,107,116.82,8,9,New Zealand,Kingston,Chris Gayle 
1351,11,11,22,50.0,2,0,New Zealand,Basseterre,Chris Gayle 
1352,16,16,17,94.11,1,1,New Zealand,Basseterre,Chris Gayle 
1353,5.0,5,12,41.66,1,0,New Zealand,Basseterre,Chris Gayle 
1354,35.0,35,40,87.5,4,2,Bangladesh,Khulna,Chris Gayle 
1355,15,15,22,68.18,2,1,Bangladesh,Khulna,Chris Gayle 
1356,4,4,12,33.33,1,0,Bangladesh,Dhaka,Chris Gayle 
1357,16,16,25,64.0,1,1,Bangladesh,Dhaka,Chris Gayle 
1358,2,2,19,10.52,0,0,Bangladesh,Dhaka,Chris Gayle 
1359,4,4,13,30.76,1,0,Australia,Perth,Chris Gayle 
1360,4,4,7,57.14,0,0,Australia,Perth,Chris Gayle 
1361,2,2,5,40.0,0,0,Australia,Canberra,Chris Gayle 
1362,39,39,47,82.97,4,1,Pakistan,The Oval,Chris Gayle 
1363,21,21,18,116.66,4,0,India,The Oval,Chris Gayle 
1364,36.0,36,27,133.33,5,1,South Africa,Cardiff,Chris Gayle 
1365,109.0,109,100,109.0,9,7,Sri Lanka,Kingston,Chris Gayle 
1366,11,11,9,122.22,2,0,India,Kingston,Chris Gayle 
1367,10.0,10,13,76.92,2,0,India,Port of Spain,Chris Gayle 
1368,14,14,17,82.35,3,0,Sri Lanka,Port of Spain,Chris Gayle 
1369,1,1,8,12.5,0,0,Pakistan,Providence,Chris Gayle 
1370,1,1,5,20.0,0,0,Pakistan,Providence,Chris Gayle 
1371,8,8,12,66.66,1,0,Pakistan,Gros Islet,Chris Gayle 
1372,30.0,30,46,65.21,3,1,Pakistan,Gros Islet,Chris Gayle 
1373,21,21,34,61.76,2,1,Pakistan,Gros Islet,Chris Gayle 
1374,0.0,0,2,0.0,0,0,India,Kochi,Chris Gayle 
1375,3,3,18,16.66,0,0,Bangladesh,St George's,Chris Gayle 
1376,58,58,67,86.56,3,5,Bangladesh,St George's,Chris Gayle 
1377,6,6,17,35.29,1,0,Bangladesh,Basseterre,Chris Gayle 
1378,41,41,24,170.83,5,2,South Africa,Durban,Chris Gayle 
1379,19,19,13,146.15,2,1,South Africa,Johannesburg,Chris Gayle 
1380,1,1,5,20.0,0,0,South Africa,East London,Chris Gayle 
1381,10.0,10,19,52.63,1,0,South Africa,Port Elizabeth,Chris Gayle 
1382,0.0,0,1,0.0,0,0,South Africa,Centurion,Chris Gayle 
1384,4,4,14,28.57,0,0,Pakistan,Christchurch,Chris Gayle 
1386,3,3,4,75.0,0,0,South Africa,Sydney,Chris Gayle 
1387,21,21,27,77.77,2,1,India,Perth,Chris Gayle 
1388,61,61,33,184.84,2,8,New Zealand,Wellington,Chris Gayle 
1389,37,37,27,137.03,2,3,England,Manchester,Chris Gayle 
1390,94,94,78,120.51,9,6,England,Bristol,Chris Gayle 
1391,2,2,4,50.0,0,0,England,The Oval,Chris Gayle 
1392,40.0,40,29,137.93,1,5,England,Southampton,Chris Gayle 
1393,22,22,31,70.96,3,1,New Zealand,Whangarei,Chris Gayle 
1394,4,4,6,66.66,1,0,New Zealand,Christchurch,Chris Gayle 
1397,1,1,9,11.11,0,0,Afghanistan,Harare,Chris Gayle 
1400,10.0,10,18,55.55,1,0,Afghanistan,Harare,Chris Gayle 
1401,40.0,40,60,66.66,1,2,Bangladesh,Providence,Chris Gayle 
1402,29,29,38,76.31,3,1,Bangladesh,Providence,Chris Gayle 
1403,73,73,66,110.6,6,5,Bangladesh,Basseterre,Chris Gayle 
1404,135.0,135,129,104.65,3,12,England,Bridgetown,Chris Gayle 
1405,50.0,50,63,79.36,1,4,England,Bridgetown,Chris Gayle 
1406,-1,0,0,0.0,0,0,England,St George's,Chris Gayle 
1407,162,162,97,167.01,11,14,England,St George's,Chris Gayle 
1408,77,77,27,285.18,5,9,England,Gros Islet,Chris Gayle 
1409,1,1,2,50.0,0,0,Pakistan,Birmingham,Chris Morris
1410,-1,0,0,0.0,0,0,West Indies,Cardiff,Chris Morris
1411,3,3,6,50.0,0,0,England,The Oval,Chris Morris
1412,9*,9,17,52.94,0,0,Sri Lanka,Colombo (RPS),Chris Morris
1413,-1,0,0,0.0,0,0,Sri Lanka,Colombo (RPS),Chris Morris
1414,-1,0,0,0.0,0,0,Bangladesh,Dhaka,Chris Morris
1415,12,12,13,92.3,3,0,Bangladesh,Dhaka,Chris Morris
1416,9,9,18,50.0,1,0,India,Chennai,Chris Morris
1417,-1,0,0,0.0,0,0,England,Bloemfontein,Chris Morris
1418,62.0,62,38,163.15,3,4,England,Johannesburg,Chris Morris
1419,-1,0,0,0.0,0,0,England,Cape Town,Chris Morris
1420,9,9,32,28.12,0,0,West Indies,Providence,Chris Morris
1421,40.0,40,26,153.84,2,2,West Indies,Basseterre,Chris Morris
1422,-1,0,0,0.0,0,0,Australia,Bridgetown,Chris Morris
1423,7,7,8,87.5,1,0,West Indies,Bridgetown,Chris Morris
1424,-1,0,0,0.0,0,0,Sri Lanka,Port Elizabeth,Chris Morris
1425,26,26,20,130.0,0,2,Sri Lanka,Durban,Chris Morris
1426,-1,0,0,0.0,0,0,Sri Lanka,Johannesburg,Chris Morris
1427,3*,3,4,75.0,0,0,Sri Lanka,Centurion,Chris Morris
1428,16,16,16,100.0,3,0,New Zealand,Hamilton,Chris Morris
1429,7,7,8,87.5,1,0,New Zealand,Christchurch,Chris Morris
1430,28.0,28,27,103.7,4,0,New Zealand,Hamilton,Chris Morris
1431,-1,0,0,0.0,0,0,New Zealand,Auckland,Chris Morris
1432,5.0,5,4,125.0,1,0,England,Leeds,Chris Morris
1433,35*,35,22,159.09,3,2,England,Southampton,Chris Morris
1434,-1,0,0,0.0,0,0,England,Lord's,Chris Morris
1435,20.0,20,19,105.26,3,0,Sri Lanka,The Oval,Chris Morris
1436,28.0,28,45,62.22,1,0,Pakistan,Birmingham,Chris Morris
1437,4,4,8,50.0,0,0,India,The Oval,Chris Morris
1438,37,37,43,86.04,4,1,India,Durban,Chris Morris
1439,14,14,10,140.0,1,1,India,Centurion,Chris Morris
1440,14,14,10,140.0,1,0,India,Cape Town,Chris Morris
1441,-1,0,0,0.0,0,0,India,Johannesburg,Chris Morris
1442,4,4,8,50.0,0,0,India,Centurion,Chris Morris
1443,12,12,15,80.0,0,0,Australia,Sydney,Chris Woakes
1444,8,8,25,32.0,0,0,Australia,Brisbane,Chris Woakes
1445,0*,0,0,0.0,0,0,Australia,Sydney,Chris Woakes
1447,-1,0,0,0.0,0,0,South Africa,Cardiff,Chris Woakes
1448,33*,33,44,75.0,3,0,South Africa,Nottingham,Chris Woakes
1449,0.0,0,3,0.0,0,0,India,Kochi,Chris Woakes
1450,-1,0,0,0.0,0,0,India,Dharamsala,Chris Woakes
1451,17,17,16,106.25,3,0,New Zealand,Hamilton,Chris Woakes
1452,-1,0,0,0.0,0,0,New Zealand,Napier,Chris Woakes
1453,3*,3,8,37.5,0,0,New Zealand,Auckland,Chris Woakes
1454,36.0,36,53,67.92,2,0,New Zealand,Lord's,Chris Woakes
1455,13,13,15,86.66,0,0,New Zealand,Southampton,Chris Woakes
1456,20.0,20,23,86.95,0,1,India,Cardiff,Chris Woakes
1457,15,15,27,55.55,0,0,India,Nottingham,Chris Woakes
1458,10.0,10,18,55.55,0,0,India,Birmingham,Chris Woakes
1459,9,9,9,100.0,2,0,India,Leeds,Chris Woakes
1460,7,7,11,63.63,1,0,Sri Lanka,Colombo (RPS),Chris Woakes
1461,15,15,20,75.0,2,0,Sri Lanka,Colombo (RPS),Chris Woakes
1462,-1,0,0,0.0,0,0,Sri Lanka,Hambantota,Chris Woakes
1463,6,6,9,66.66,0,0,Sri Lanka,Colombo (RPS),Chris Woakes
1464,-1,0,0,0.0,0,0,Sri Lanka,Pallekele,Chris Woakes
1465,41,41,49,83.67,4,0,Sri Lanka,Pallekele,Chris Woakes
1466,34,34,37,91.89,2,0,Sri Lanka,Colombo (RPS),Chris Woakes
1467,8,8,13,61.53,0,0,Australia,Sydney,Chris Woakes
1468,-1,0,0,0.0,0,0,India,Brisbane,Chris Woakes
1469,0.0,0,1,0.0,0,0,Australia,Hobart,Chris Woakes
1470,4*,4,9,44.44,0,0,India,Perth,Chris Woakes
1471,0.0,0,1,0.0,0,0,Australia,Perth,Chris Woakes
1472,37,37,42,88.09,2,0,Australia,Melbourne,Chris Woakes
1473,1,1,2,50.0,0,0,New Zealand,Wellington,Chris Woakes
1475,9*,9,8,112.5,1,0,Sri Lanka,Wellington,Chris Woakes
1476,42*,42,40,105.0,3,0,Bangladesh,Adelaide,Chris Woakes
1477,0.0,0,1,0.0,0,0,Australia,Southampton,Chris Woakes
1478,6,6,12,50.0,1,0,Australia,Lord's,Chris Woakes
1479,14*,14,11,127.27,0,1,Australia,Manchester,Chris Woakes
1480,33,33,49,67.34,1,0,Pakistan,Abu Dhabi,Chris Woakes
1481,-1,0,0,0.0,0,0,Pakistan,Abu Dhabi,Chris Woakes
1482,-1,0,0,0.0,0,0,Pakistan,Sharjah,Chris Woakes
1483,-1,0,0,0.0,0,0,Pakistan,Dubai (DSC),Chris Woakes
1484,33,33,38,86.84,3,0,South Africa,Johannesburg,Chris Woakes
1485,0.0,0,5,0.0,0,0,South Africa,Cape Town,Chris Woakes
1486,95*,95,92,103.26,4,0,Sri Lanka,Nottingham,Chris Woakes
1487,-1,0,0,0.0,0,0,Sri Lanka,Birmingham,Chris Woakes
1488,-1,0,0,0.0,0,0,Sri Lanka,Bristol,Chris Woakes
1489,-1,0,0,0.0,0,0,Sri Lanka,The Oval,Chris Woakes
1490,17*,17,9,188.88,1,1,Sri Lanka,Cardiff,Chris Woakes
1491,-1,0,0,0.0,0,0,Pakistan,Southampton,Chris Woakes
1492,7*,7,9,77.77,1,0,Pakistan,Lord's,Chris Woakes
1493,-1,0,0,0.0,0,0,Pakistan,Nottingham,Chris Woakes
1494,10.0,10,8,125.0,1,0,Pakistan,Cardiff,Chris Woakes
1495,16,16,15,106.66,2,0,Bangladesh,Dhaka,Chris Woakes
1496,7,7,9,77.77,1,0,Bangladesh,Dhaka,Chris Woakes
1497,27*,27,18,150.0,3,1,Bangladesh,Chattogram,Chris Woakes
1498,9*,9,6,150.0,1,0,India,Pune,Chris Woakes
1499,5.0,5,4,125.0,1,0,India,Cuttack,Chris Woakes
1500,34,34,19,178.94,4,1,India,Kolkata,Chris Woakes
1501,0*,0,0,0.0,0,0,West Indies,North Sound,Chris Woakes
1502,68*,68,83,81.92,5,2,West Indies,North Sound,Chris Woakes
1503,13,13,14,92.85,1,0,West Indies,Bridgetown,Chris Woakes
1504,6*,6,6,100.0,0,0,South Africa,Leeds,Chris Woakes
1505,-1,0,0,0.0,0,0,Bangladesh,The Oval,Chris Woakes
1506,-1,0,0,0.0,0,0,West Indies,Manchester,Chris Woakes
1507,-1,0,0,0.0,0,0,West Indies,Nottingham,Chris Woakes
1508,34,34,34,100.0,1,1,West Indies,Bristol,Chris Woakes
1509,-1,0,0,0.0,0,0,West Indies,The Oval,Chris Woakes
1510,-1,0,0,0.0,0,0,Australia,Melbourne,Chris Woakes
1511,39*,39,27,144.44,5,1,Australia,Brisbane,Chris Woakes
1512,53*,53,36,147.22,5,2,Australia,Sydney,Chris Woakes
1513,78.0,78,82,95.12,4,5,Australia,Adelaide,Chris Woakes
1514,11,11,15,73.33,1,0,New Zealand,Hamilton,Chris Woakes
1515,-1,0,0,0.0,0,0,New Zealand,Mount Maunganui,Chris Woakes
1516,16,16,15,106.66,2,0,New Zealand,Wellington,Chris Woakes
1517,3,3,5,60.0,0,0,New Zealand,Dunedin,Chris Woakes
1518,-1,0,0,0.0,0,0,New Zealand,Christchurch,Chris Woakes
1519,-1,0,0,0.0,0,0,Sri Lanka,Dambulla,Chris Woakes
1520,5.0,5,10,50.0,0,0,Sri Lanka,Dambulla,Chris Woakes
1521,-1,0,0,0.0,0,0,Sri Lanka,Pallekele,Chris Woakes
1522,-1,0,0,0.0,0,0,Sri Lanka,Pallekele,Chris Woakes
1523,-1,0,0,0.0,0,0,West Indies,Bridgetown,Chris Woakes
1524,-1,0,0,0.0,0,0,West Indies,St George's,Chris Woakes
1525,-1,0,0,0.0,0,0,West Indies,St George's,Chris Woakes
1526,0.0,0,4,0.0,0,0,West Indies,Gros Islet,Chris Woakes
1527,-1,0,0,0.0,0,0,Pakistan,The Oval,Chris Woakes
1528,-1,0,0,0.0,0,0,Pakistan,Southampton,Chris Woakes
1529,-1,0,0,0.0,0,0,Pakistan,Bristol,Chris Woakes
1530,-1,0,0,0.0,0,0,Pakistan,Leeds,Chris Woakes
1531,36.0,36,36,100.0,1,3,South Africa,Auckland,Colin de Grandhomme
1532,6,6,8,75.0,1,0,Australia,Sydney,Colin de Grandhomme
1533,12,12,14,85.71,0,1,Australia,Canberra,Colin de Grandhomme
1534,11,11,10,110.0,0,1,Australia,Melbourne,Colin de Grandhomme
1535,34*,34,19,178.94,0,3,South Africa,Hamilton,Colin de Grandhomme
1536,-1,0,0,0.0,0,0,South Africa,Christchurch,Colin de Grandhomme
1537,34*,34,34,100.0,2,2,South Africa,Wellington,Colin de Grandhomme
1538,-1,0,0,0.0,0,0,South Africa,Hamilton,Colin de Grandhomme
1539,32.0,32,48,66.66,1,1,South Africa,Auckland,Colin de Grandhomme
1540,-1,0,0,0.0,0,0,India,Mumbai,Colin de Grandhomme
1541,41,41,40,102.5,5,1,India,Pune,Colin de Grandhomme
1542,8*,8,11,72.72,0,0,India,Kanpur,Colin de Grandhomme
1543,74*,74,40,185.0,7,5,Pakistan,Hamilton,Colin de Grandhomme
1544,29*,29,21,138.09,2,0,Pakistan,Wellington,Colin de Grandhomme
1545,2,2,4,50.0,0,0,England,Hamilton,Colin de Grandhomme
1546,38,38,40,95.0,4,1,England,Mount Maunganui,Colin de Grandhomme
1547,3,3,8,37.5,0,0,England,Wellington,Colin de Grandhomme
1548,23,23,12,191.66,2,2,England,Dunedin,Colin de Grandhomme
1549,6,6,11,54.54,0,0,England,Christchurch,Colin de Grandhomme
1550,0.0,0,2,0.0,0,0,Pakistan,Abu Dhabi,Colin de Grandhomme
1551,3,3,12,25.0,0,0,Pakistan,Abu Dhabi,Colin de Grandhomme
1552,-1,0,0,0.0,0,0,Pakistan,Dubai (DSC),Colin de Grandhomme
1553,3,3,8,37.5,0,0,India,Mount Maunganui,Colin de Grandhomme
1554,-1,0,0,0.0,0,0,India,Hamilton,Colin de Grandhomme
1555,11,11,8,137.5,2,0,India,Wellington,Colin de Grandhomme
1556,-1,0,0,0.0,0,0,Bangladesh,Napier,Colin de Grandhomme
1557,-1,0,0,0.0,0,0,Bangladesh,Christchurch,Colin de Grandhomme
1558,37*,37,15,246.66,4,2,Bangladesh,Dunedin,Colin de Grandhomme
1559,9,9,13,69.23,1,0,South Africa,Kimberley,Colin Munro
1560,57,57,62,91.93,6,1,South Africa,Potchefstroom,Colin Munro
1561,0.0,0,1,0.0,0,0,England,Nottingham,Colin Munro
1562,85.0,85,77,110.38,7,2,Bangladesh,Fatullah,Colin Munro
1563,-1,0,0,0.0,0,0,Sri Lanka,Hambantota,Colin Munro
1564,15,15,12,125.0,1,1,Sri Lanka,Hambantota,Colin Munro
1565,1,1,4,25.0,0,0,Sri Lanka,Dambulla,Colin Munro
1568,33,33,32,103.12,3,1,South Africa,Centurion,Colin Munro
1569,-1,0,0,0.0,0,0,South Africa,Potchefstroom,Colin Munro
1570,35.0,35,44,79.54,2,0,South Africa,Durban,Colin Munro
1571,49,49,59,83.05,4,1,Australia,Sydney,Colin Munro
1572,11,11,12,91.66,1,1,Australia,Canberra,Colin Munro
1573,20.0,20,38,52.63,1,0,Australia,Melbourne,Colin Munro
1574,87,87,61,142.62,8,4,Bangladesh,Christchurch,Colin Munro
1575,3,3,7,42.85,0,0,Bangladesh,Nelson,Colin Munro
1576,-1,0,0,0.0,0,0,Bangladesh,Nelson,Colin Munro
1577,2,2,6,33.33,0,0,Australia,Auckland,Colin Munro
1578,3,3,9,33.33,0,0,Australia,Hamilton,Colin Munro
1580,16*,16,14,114.28,2,0,Bangladesh,Dublin,Colin Munro
1582,1,1,2,50.0,0,0,Bangladesh,Dublin,Colin Munro
1583,28.0,28,35,80.0,3,1,India,Mumbai,Colin Munro
1584,10.0,10,17,58.82,0,1,India,Pune,Colin Munro
1585,75.0,75,62,120.96,8,3,India,Kanpur,Colin Munro
1586,49,49,36,136.11,8,0,West Indies,Whangarei,Colin Munro
1587,30.0,30,25,120.0,1,2,West Indies,Christchurch,Colin Munro
1588,21,21,19,110.52,3,0,West Indies,Christchurch,Colin Munro
1589,58,58,35,165.71,6,2,Pakistan,Wellington,Colin Munro
1590,0.0,0,2,0.0,0,0,Pakistan,Nelson,Colin Munro
1591,8,8,4,200.0,0,1,Pakistan,Dunedin,Colin Munro
1592,56.0,56,42,133.33,8,2,Pakistan,Hamilton,Colin Munro
1593,34,34,24,141.66,7,0,Pakistan,Wellington,Colin Munro
1594,6,6,4,150.0,0,1,England,Hamilton,Colin Munro
1595,1,1,4,25.0,0,0,England,Mount Maunganui,Colin Munro
1596,49,49,62,79.03,7,0,England,Wellington,Colin Munro
1597,0.0,0,1,0.0,0,0,England,Dunedin,Colin Munro
1598,0.0,0,2,0.0,0,0,England,Christchurch,Colin Munro
1599,29,29,27,107.4,5,0,Pakistan,Abu Dhabi,Colin Munro
1600,13,13,10,130.0,1,1,Pakistan,Abu Dhabi,Colin Munro
1601,0.0,0,2,0.0,0,0,Pakistan,Dubai (DSC),Colin Munro
1602,13,13,14,92.85,1,1,Sri Lanka,Mount Maunganui,Colin Munro
1603,87,87,77,112.98,12,2,Sri Lanka,Mount Maunganui,Colin Munro
1604,21,21,14,150.0,4,0,Sri Lanka,Nelson,Colin Munro
1605,8,8,9,88.88,2,0,India,Napier,Colin Munro
1606,31,31,41,75.6,3,1,India,Mount Maunganui,Colin Munro
1607,7,7,9,77.77,1,0,India,Mount Maunganui,Colin Munro
1608,24.0,24,19,126.31,2,1,India,Wellington,Colin Munro
1609,8,8,7,114.28,0,0,Bangladesh,Dunedin,Colin Munro
1612,sub,0,0,0.0,0,0,Australia,Melbourne (Docklands),Dale Steyn
1613,sub,0,0,0.0,0,0,Sri Lanka,Hobart,Dale Steyn
1615,-1,0,0,0.0,0,0,India,Belfast,Dale Steyn
1617,-1,0,0,0.0,0,0,New Zealand,Cape Town,Dale Steyn
1618,-1,0,0,0.0,0,0,West Indies,Centurion,Dale Steyn
1619,1*,1,2,50.0,0,0,West Indies,Cape Town,Dale Steyn
1620,-1,0,0,0.0,0,0,West Indies,Port Elizabeth,Dale Steyn
1621,-1,0,0,0.0,0,0,West Indies,Johannesburg,Dale Steyn
1622,-1,0,0,0.0,0,0,Bangladesh,Dhaka,Dale Steyn
1623,3*,3,2,150.0,0,0,England,Leeds,Dale Steyn
1624,6,6,6,100.0,1,0,England,Nottingham,Dale Steyn
1625,5*,5,12,41.66,0,0,England,The Oval,Dale Steyn
1626,-1,0,0,0.0,0,0,England,Lord's,Dale Steyn
1627,-1,0,0,0.0,0,0,England,Cardiff,Dale Steyn
1628,-1,0,0,0.0,0,0,Bangladesh,Potchefstroom,Dale Steyn
1629,-1,0,0,0.0,0,0,Bangladesh,Benoni,Dale Steyn
1630,-1,0,0,0.0,0,0,Australia,Melbourne,Dale Steyn
1631,-1,0,0,0.0,0,0,Australia,Hobart,Dale Steyn
1632,-1,0,0,0.0,0,0,Australia,Sydney,Dale Steyn
1633,-1,0,0,0.0,0,0,Australia,Adelaide,Dale Steyn
1634,1,1,2,50.0,0,0,Australia,Durban,Dale Steyn
1635,-1,0,0,0.0,0,0,Australia,Centurion,Dale Steyn
1636,-1,0,0,0.0,0,0,Australia,Cape Town,Dale Steyn
1637,-1,0,0,0.0,0,0,Australia,Port Elizabeth,Dale Steyn
1638,0.0,0,1,0.0,0,0,Australia,Johannesburg,Dale Steyn
1639,-1,0,0,0.0,0,0,Sri Lanka,Centurion,Dale Steyn
1640,-1,0,0,0.0,0,0,New Zealand,Centurion,Dale Steyn
1641,17*,17,13,130.76,2,0,England,Centurion,Dale Steyn
1643,12,12,11,109.09,0,1,England,Centurion,Dale Steyn
1644,-1,0,0,0.0,0,0,England,Cape Town,Dale Steyn
1645,35.0,35,19,184.21,1,3,India,Jaipur,Dale Steyn
1646,0.0,0,4,0.0,0,0,India,Gwalior,Dale Steyn
1647,-1,0,0,0.0,0,0,India,Ahmedabad,Dale Steyn
1648,2*,2,3,66.66,0,0,West Indies,North Sound,Dale Steyn
1649,-1,0,0,0.0,0,0,West Indies,North Sound,Dale Steyn
1650,0.0,0,5,0.0,0,0,West Indies,Roseau,Dale Steyn
1651,-1,0,0,0.0,0,0,Pakistan,Dubai (DSC),Dale Steyn
1652,-1,0,0,0.0,0,0,Pakistan,Dubai (DSC),Dale Steyn
1653,7,7,9,77.77,0,0,India,Durban,Dale Steyn
1654,6,6,14,42.85,0,0,India,Johannesburg,Dale Steyn
1655,5.0,5,8,62.5,0,0,India,Cape Town,Dale Steyn
1656,4*,4,6,66.66,0,0,India,Port Elizabeth,Dale Steyn
1657,0.0,0,1,0.0,0,0,India,Centurion,Dale Steyn
1658,-1,0,0,0.0,0,0,West Indies,Delhi,Dale Steyn
1660,20.0,20,31,64.51,3,0,England,Chennai,Dale Steyn
1661,-1,0,0,0.0,0,0,India,Nagpur,Dale Steyn
1663,8,8,18,44.44,1,0,New Zealand,Dhaka,Dale Steyn
1664,5.0,5,9,55.55,1,0,Australia,Centurion,Dale Steyn
1665,-1,0,0,0.0,0,0,Australia,Port Elizabeth,Dale Steyn
1666,-1,0,0,0.0,0,0,Australia,Durban,Dale Steyn
1667,1,1,2,50.0,0,0,Sri Lanka,Paarl,Dale Steyn
1668,-1,0,0,0.0,0,0,Sri Lanka,East London,Dale Steyn
1669,-1,0,0,0.0,0,0,Sri Lanka,Bloemfontein,Dale Steyn
1670,-1,0,0,0.0,0,0,New Zealand,Wellington,Dale Steyn
1671,-1,0,0,0.0,0,0,New Zealand,Napier,Dale Steyn
1672,-1,0,0,0.0,0,0,New Zealand,Auckland,Dale Steyn
1673,1,1,7,14.28,0,0,England,The Oval,Dale Steyn
1674,3*,3,4,75.0,0,0,England,Lord's,Dale Steyn
1675,-1,0,0,0.0,0,0,England,Nottingham,Dale Steyn
1676,0.0,0,3,0.0,0,0,New Zealand,Paarl,Dale Steyn
1677,4,4,6,66.66,0,0,New Zealand,Potchefstroom,Dale Steyn
1678,0.0,0,16,0.0,0,0,Pakistan,Centurion,Dale Steyn
1679,-1,0,0,0.0,0,0,Pakistan,Johannesburg,Dale Steyn
1680,9,9,9,100.0,1,0,Pakistan,Durban,Dale Steyn
1681,-1,0,0,0.0,0,0,Pakistan,Benoni,Dale Steyn
1682,-1,0,0,0.0,0,0,West Indies,Cardiff,Dale Steyn
1683,2,2,4,50.0,0,0,Pakistan,Abu Dhabi,Dale Steyn
1684,-1,0,0,0.0,0,0,Pakistan,Abu Dhabi,Dale Steyn
1685,15,15,32,46.87,1,1,Pakistan,Cape Town,Dale Steyn
1686,-1,0,0,0.0,0,0,Pakistan,Port Elizabeth,Dale Steyn
1687,-1,0,0,0.0,0,0,India,Johannesburg,Dale Steyn
1688,-1,0,0,0.0,0,0,India,Durban,Dale Steyn
1689,-1,0,0,0.0,0,0,Sri Lanka,Colombo (RPS),Dale Steyn
1690,23,23,35,65.71,4,0,Sri Lanka,Pallekele,Dale Steyn
1691,-1,0,0,0.0,0,0,Sri Lanka,Hambantota,Dale Steyn
1692,-1,0,0,0.0,0,0,Australia,Harare,Dale Steyn
1694,5.0,5,10,50.0,1,0,Australia,Harare,Dale Steyn
1696,-1,0,0,0.0,0,0,Australia,Harare,Dale Steyn
1697,-1,0,0,0.0,0,0,New Zealand,Mount Maunganui,Dale Steyn
1698,0.0,0,2,0.0,0,0,New Zealand,Mount Maunganui,Dale Steyn
1699,6,6,12,50.0,1,0,Australia,Perth,Dale Steyn
1700,4*,4,3,133.33,1,0,Australia,Perth,Dale Steyn
1701,12,12,6,200.0,1,1,Australia,Canberra,Dale Steyn
1702,0*,0,4,0.0,0,0,Australia,Melbourne,Dale Steyn
1703,6*,6,13,46.15,1,0,West Indies,Durban,Dale Steyn
1704,-1,0,0,0.0,0,0,West Indies,Johannesburg,Dale Steyn
1705,-1,0,0,0.0,0,0,West Indies,East London,Dale Steyn
